n.nascent.transcript,n.mature.transcript,transcription.rate,decay.rate,syp.half.life,normalised.Imp.protein
37,2294,205.7964049,0.358842903,116,0.3544
54.9,1316.1,305.3573684,0.928067376,45,0.7692
60.8,2313.2,338.1735519,0.584771834,71,0.4306
115.4,2383.6,641.8623008,1.077130896,39,0.6212
68.3,1533.7,379.8890394,0.99077796,42,0.5430
26.6,1906.4,147.950929,0.310429981,134,0.4869
40.1,1975.9,223.0388064,0.45151841,92,0.6307
80.4,1115.6,447.1900259,1.603406331,26,1.0000
41.6,1951.4,231.3819039,0.474289031,88,0.4098
81.4,2760.6,452.7520909,0.656019837,63,0.5695
132,1242,734.1925798,2.364549371,18,0.9314
149.6,2904.4,832.0849237,1.145964638,36,0.3722
64,1912,355.9721599,0.744711632,56,0.5647
93.5,990.5,520.0530773,2.100163866,20,0.8551
147.8,2989.2,822.0732067,1.100057817,38,0.2956
148.3,2569.7,824.8542392,1.283969707,32,0.2526
60.3,2873.7,335.3925194,0.466844165,89,0.5429
110.1,1352.9,612.3833563,1.81057981,23,0.8794
83.8,1967.2,466.1010468,0.947745114,44,0.4696
99.6,853.4,553.9816738,2.596586238,16,0.7592
69.9,1141.1,388.7883434,1.362854591,31,0.7056
33,947,183.5481449,0.775282555,54,0.8575
103,1863,572.8926948,1.23004336,34,0.3082
92.3,1537.7,513.3785993,1.335445404,31,0.5097
58.4,636.6,324.8245959,2.040996518,20,1.0000
115.4,926.6,641.8623008,2.770827977,15,0.7709
41.7,459.3,231.9381104,2.019926936,21,0.9521
76.6,837.4,426.0541789,2.035128631,20,0.7560
22.6,711.4,125.702669,0.706790379,59,0.9519
83.9,647.1,466.6572533,2.884606728,14,0.7279
54.2,1853.8,301.4639229,0.650477771,64,0.2931
78.2,1741.8,434.9534829,0.998859761,42,0.1954
86.6,1119.4,481.6748288,1.721189312,24,0.4854
42.6,1160.4,236.9439689,0.816766525,51,0.7283
60.3,1275.7,335.3925194,1.051634458,40,0.8020
63.4,569.6,352.6349209,2.476368826,17,0.5545
47.7,876.3,265.3105004,1.211048729,34,0.5823
83.5,825.5,464.4324273,2.25042969,18,0.4117
50,793,278.1032499,1.402790668,30,0.3812
11.4,384.6,63.40754098,0.659464805,63,0.8603
70.8,1368.2,393.7942019,1.151276719,36,0.3402
59.5,774.5,330.9428674,1.709194925,24,0.6569
83.9,288.1,466.6572533,6.479101053,6,1.0000
22.7,254.3,126.2588755,1.985983098,21,0.8061
110.3,1536.7,613.4957693,1.596917471,26,0.3904
83.2,1669.8,462.7638078,1.108549067,38,0.2529
60.3,1218.7,335.3925194,1.10082061,38,0.7095
102.5,889.5,570.1116623,2.563739909,16,0.8727
77.4,1204.6,430.5038309,1.429532893,29,0.3998
28.9,1256.1,160.7436784,0.511881788,81,0.7433
48.5,1101.5,269.7601524,0.979610177,42,0.3548
100.9,1585.1,561.2123583,1.416219439,29,0.3798
123.8,1426.2,688.5836468,1.931240069,22,0.4716
33.3,843.7,185.2167644,0.878116698,47,1.0000
85,2249,472.7755248,0.840863539,49,0.2039
48.7,1968.3,270.8725654,0.550470082,76,0.2994
83.5,1872.5,464.4324273,0.992111994,42,0.5812
51.4,1847.6,285.8901409,0.618943799,67,0.3037
64.4,1449.6,358.1969859,0.988402279,42,0.9055
34.7,756.3,193.0036554,1.020778291,41,0.6641
66.3,1310.7,368.7649094,1.125398365,37,0.5432
90.6,1955.4,503.9230888,1.030833771,40,0.4577
90,1703,500.5858498,1.175774163,35,0.7101
65.1,914.9,362.0904314,1.583082004,26,1.0000
42.6,1335.4,236.9439689,0.709731822,59,0.4946
68.2,853.8,379.3328329,1.777150775,23,0.7321
78.1,1947.9,434.3972764,0.892031986,47,0.3016
45.5,1082.5,253.0739574,0.935146263,44,0.4323
56.1,617.9,312.0318464,2.019950454,21,0.8983
57.7,756.3,320.9311504,1.697374853,25,0.7935
9.6,915.4,53.39582398,0.233322368,178,0.5508
85.6,1393.4,476.1127638,1.366765506,30,0.1730
64,2077,355.9721599,0.685550621,61,0.2944
52.4,1049.6,291.4522059,1.110717248,37,0.3389
68.9,835.1,383.2262784,1.835594675,23,1.0000
67.1,1419.9,373.2145614,1.051382665,40,0.6814
28,1614,155.7378199,0.385967336,108,0.4215
119.8,1198.2,666.3353868,2.224454638,19,0.3946
64.1,1567.9,356.5283664,0.909569147,46,0.2537
98,1668,545.0823698,1.307151966,32,0.2978
61.5,1011.5,342.0669974,1.352711804,31,0.5709
48.2,762.8,268.0915329,1.405828699,30,0.7882
66.4,1890.6,369.3211159,0.781383933,53,0.3202
91.8,647.2,510.5975668,3.155732799,13,0.7543
104.9,1917.1,583.4606183,1.217381708,34,0.4074
79.8,940.2,443.8527869,1.88833349,22,0.7533
88.5,360.5,492.2427523,5.461778112,8,0.9149
33.9,2306.1,188.5540034,0.327052606,127,0.4019
35,1947,194.6722749,0.39994304,104,0.4492
82.8,597.2,460.5389818,3.084654935,13,1.0000
97,956,539.5203048,2.257407133,18,0.8921
19.2,598.8,106.791648,0.713371062,58,0.7681
39.1,813.9,217.4767414,1.06881308,39,0.8497
82.4,1492.6,458.3141558,1.228230352,34,0.2038
83.5,646.5,464.4324273,2.873518499,14,0.8292
54.7,1205.3,304.2449554,1.009690385,41,0.4736
86.7,1821.3,482.2310353,1.059091935,39,0.2761
74,1786,411.5928099,0.921820403,45,0.3523
72.7,853.2,404.3621254,1.895743673,22,0.9977
75.1,1235.9,417.7110814,1.351925176,31,0.8467
65.2,1918.8,362.6466379,0.75598632,55,0.5102
64.7,291.3,359.8656054,4.941511917,8,1.0000
50.8,1285.2,282.5529019,0.879405235,47,0.4215
77.5,1054.5,431.0600374,1.635125794,25,0.5587
80.6,2097.4,448.3024389,0.854967939,49,0.2724
87.2,1479.8,485.0120678,1.311020592,32,0.2749
53.8,606.2,299.2390969,1.974523899,21,0.8093
73.3,1576.7,407.6993644,1.034310558,40,0.3180
94.3,784.7,524.5027293,2.673647148,16,0.5686
85.2,1178.8,473.8879378,1.608035079,26,0.5332
80,583,444.9651999,3.052934476,14,0.9524
74.3,1291.7,413.2614294,1.279744304,32,0.5011
86.8,2542.2,482.7872418,0.759636916,55,0.3620
57.4,2109.6,319.2625309,0.605351784,69,0.4298
89.3,1737.7,496.6924043,1.143332921,36,0.4591
95.9,1211.1,533.4020333,1.761710951,24,0.5125
128.1,1889.9,712.5005263,1.508017411,28,0.4761
109.5,1396.5,609.0461173,1.744492996,24,0.5994
25.7,781.3,142.9450705,0.731831923,57,0.7274
75.1,2671.9,417.7110814,0.625339393,67,0.2615
18.6,231.4,103.454409,1.788321676,23,0.9425