entry,name,area,mean,min,max,intden,rawintden,clone,norm_density
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0047-0273-0610:48,9.531e-7,1973.473,1396,2900,0.002,16026575,syp RNAi clone,1.016242568326381
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0055-0301-0303:56,9.747e-7,1898.704,1282,2854,0.002,15768733,syp RNAi clone,0.9621028839698107
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0091-0216-0262:92,7.855e-7,1655.423,1112,2586,0.001,11079745,syp RNAi clone,0.7859882083949499
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0067-1352-1318:68,7.138e-7,2145.625,1394,3158,0.002,13049691,syp RNAi clone,1.1408741122871342
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0070-0860-1635:72,1.137e-6,1519.128,909,2413,0.002,14712755,syp RNAi clone,0.6869686870375303
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0048-0919-0902:48,1.303e-6,2341.68,1454,3405,0.003,25997334,Wildtype,1.282764217479411
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0052-1519-1151:52,1.317e-6,2093.993,1452,3029,0.003,23498795,Wildtype,1.1035447265531335
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0056-1598-1286:56,1.15e-6,1834.192,1125,2830,0.002,17967746,Wildtype,0.9150377519853928
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0044-1594-1444:44,1.15e-6,1722.414,1058,2574,0.002,16883099,Wildtype,0.8348975653044765
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0032-1447-1251:32,1.067e-6,2213.768,1340,3490,0.002,20129788,Wildtype,1.1904773613558548
6,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0044-1322-1188:44,7.896e-7,2162.53,1427,3337,0.002,14549505,Wildtype,1.153145791358116
7,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0048-0766-0850:48,1.101e-6,2332.277,1584,3622,0.003,21881427,Wildtype,1.2761564100188343
8,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0044-0763-1050:44,1.219e-6,2332.269,1625,3321,0.003,24225276,Wildtype,1.276065837134352
9,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0048-0633-0900:48,1.345e-6,2208.24,1173,3286,0.003,25313056,Wildtype,1.1865972833262446
10,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0040-0409-1017:40,1.079e-6,2066.547,1387,2965,0.002,18991567,Wildtype,1.0830173226227262
11,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0036-0274-1038:36,7.45e-7,1934.304,1300,2963,0.001,12278960,Wildtype,0.9879154162467685
12,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0048-0177-0521:48,9.02e-7,1769.962,1133,2629,0.002,13603925,Wildtype,0.8689701708986418
13,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_001.tiff:0064-0430-0439:64,1.026e-6,1960.322,1106,3135,0.002,17133211,Wildtype,1.0063715489438536
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0047-0795-0949:48,1.286e-6,1521.612,1090,2306,0.002,16673820,syp RNAi clone,0.6891496166348458
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0063-0820-1104:64,1.205e-6,1497.888,1036,2604,0.002,15375816,syp RNAi clone,0.6716772894550506
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0047-0511-1061:48,1.157e-6,1741.811,1092,2780,0.002,17172519,syp RNAi clone,0.8486051869501776
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0035-0635-0660:36,1.138e-6,1777.512,1053,2710,0.002,17232976,syp RNAi clone,0.874175013878649
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0039-1343-0732:40,1.562e-6,1287.101,780,2373,0.002,17128746,syp RNAi clone,0.5192340916595943
6,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0043-1187-0232:44,8.592e-7,1413.614,980,2172,0.001,10349069,syp RNAi clone,0.6109239237094771
7,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0023-0146-0748:24,1.036e-6,1730.126,717,2731,0.002,15270092,syp RNAi clone,0.8398695510725988
8,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0047-0179-0949:48,1.274e-6,1462.003,963,2386,0.002,15875891,syp RNAi clone,0.6463089560683908
9,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0067-1525-0285:68,9.22e-7,1254.723,819,2056,0.001,9857100,syp RNAi clone,0.49587541399466684
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0068-1222-1032:68,1.606e-6,1203.573,782,1961,0.002,16470899,Wildtype,0.45890160698670307
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0048-1639-0965:48,9.639e-7,1166.319,715,2329,0.001,9578976,Wildtype,0.4318709365687091
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0048-1448-0843:48,8.961e-7,1231.784,796,2372,0.001,9404673,Wildtype,0.47923151649120777
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0036-1152-0561:36,1.048e-6,1488.267,1036,2390,0.002,13290228,Wildtype,0.6650074032814406
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0036-1183-0664:36,8.749e-7,1346.436,946,2552,0.001,10037680,Wildtype,0.5623166111039359
6,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0016-1388-0328:16,9.459e-7,2024.833,1096,3085,0.002,16320156,Wildtype,1.053490034821415
7,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0024-1231-0410:24,1.103e-6,1911.367,1086,2940,0.002,17968758,Wildtype,0.9716846291644723
8,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0036-0968-0333:36,7.445e-7,1769.973,1216,2989,0.001,11228706,Wildtype,0.8689917629324341
9,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0036-0713-0463:36,8.598e-7,1621.947,850,2728,0.001,11882381,Wildtype,0.7617377132099389
10,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0048-0684-0766:48,1.009e-6,1450.792,1006,2527,0.001,12476815,Wildtype,0.6381580949510308
11,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0040-0629-0935:40,9.085e-7,1694.438,1177,2510,0.002,13116644,Wildtype,0.8142278075934559
12,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0040-0528-0737:40,1.304e-6,1575.335,985,2592,0.002,17498818,Wildtype,0.7276994380920662
13,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0040-0318-0816:40,9.122e-7,1460.275,942,2298,0.001,11350721,Wildtype,0.6447611909559199
14,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0052-0368-1196:52,1.115e-6,1512.378,965,2519,0.002,14373641,Wildtype,0.6828204934896729
15,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0060-0060-1132:60,1.056e-6,1452.468,980,2118,0.002,13067852,Wildtype,0.6389512431890995
16,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0048-0453-0491:48,1.068e-6,1565.806,816,2481,0.002,14248839,Wildtype,0.72109485934983375
17,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0032-0334-0426:32,7.705e-7,1733.737,1091,2648,0.001,11381985,Wildtype,0.8426510335097894
18,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0036-0197-0620:36,7.012e-7,1725.916,985,2623,0.001,10312347,Wildtype,0.8370861188261324
19,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0044-1027-0874:44,1.129e-6,1403.689,937,2205,0.002,13507703,Wildtype,0.6040670672309221
20,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0044-1252-0953:44,1.284e-6,1459.29,828,2299,0.002,15970474,Wildtype,0.6443216159868468
21,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0024-0629-0242:24,6.818e-7,1894.843,1232,2728,0.001,11007144,Wildtype,0.9592313078076756
22,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_002.tiff:0032-0529-0325:32,6.89e-7,1692.111,984,2565,0.001,9934385,Wildtype,0.8126017567025362
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0041-0513-0502:44,1.127e-6,2188.209,1340,3335,0.002,21004618,syp RNAi clone,1.1710923357362217
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0089-0188-0261:92,1.009e-6,1501.107,925,2081,0.002,12905015,syp RNAi clone,0.6742172268749733
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0085-0074-0680:88,8.752e-7,1349.907,833,1875,0.001,10066256,syp RNAi clone,0.5647567586264601
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0029-0793-1339:32,1.104e-6,1408.883,888,2436,0.002,13259001,syp RNAi clone,0.6079465176696239
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0029-1325-0996:32,1.347e-6,1570.268,1043,2761,0.002,18020400,syp RNAi clone,0.7242016749422148
6,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0029-1429-1110:32,1.505e-6,1372.395,959,2373,0.002,17595473,syp RNAi clone,0.5808736993382342
7,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0025-1578-1497:28,9.333e-7,1128.112,711,2241,0.001,8970748,syp RNAi clone,0.4041822217187167
8,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0021-1312-1401:24,7.355e-7,1213.696,777,3430,8.927e-4,7606235,syp RNAi clone,0.4661861168467835
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0024-1119-0986:24,9.232e-7,1681.468,1090,2482,0.002,13226425,Wildtype,0.8047982999315767
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0036-1530-1062:36,9.152e-7,1313.945,812,2480,0.001,10246144,Wildtype,0.5387444657852801
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0032-1728-1230:32,1.341e-6,1245.218,855,2009,0.002,14226618,Wildtype,0.4889049206444964
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0040-1589-1267:40,1.054e-6,1361.397,913,2393,0.001,12228065,Wildtype,0.5732465133489524
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0052-1829-1094:52,1.142e-6,1129.76,729,1696,0.001,10995953,Wildtype,0.40561151600985196
6,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0036-1323-1677:36,8.537e-7,1133.896,793,1684,9.68e-4,8247958,Wildtype,0.40839373645538934
7,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0028-1223-1780:28,6.612e-7,1225.486,742,2084,8.103e-4,6904388,Wildtype,0.47473603575006657
8,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0028-1174-1471:28,7.958e-7,1363.534,826,2387,0.001,9246124,Wildtype,0.5746972062946314
9,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0036-0777-1633:36,7.916e-7,1730.59,1188,2581,0.001,11672827,Wildtype,0.8404128668806695
10,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0040-0949-1165:40,1.814e-6,1528.924,1005,2599,0.003,23634107,Wildtype,0.6945094100228502
11,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0036-0936-1036:36,8.259e-7,1664.836,1069,2746,0.001,11715450,Wildtype,0.7927627994435835
12,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0036-0587-1299:36,1.033e-6,1339.04,912,2079,0.001,11783556,Wildtype,0.556723580965515
13,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0028-0497-1182:28,1.178e-6,1761.536,859,2808,0.002,17685817,Wildtype,0.8631472749275632
14,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0032-0431-0819:32,1.056e-6,2048.752,1277,3044,0.002,18440820,Wildtype,1.0712760007023543
15,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0032-0573-0894:32,8.449e-7,1651.132,922,2526,0.001,11886499,Wildtype,0.7828602574623481
16,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0068-0259-0916:68,1.001e-6,1724.776,903,2684,0.002,14705440,Wildtype,0.8357297161709071
17,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0072-0837-0864:72,1.282e-6,1579.833,1086,2560,0.002,17259674,Wildtype,0.7314164250227487
18,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0048-0449-1000:48,1.242e-6,1723.026,996,2424,0.002,18231343,Wildtype,0.83473310609984
19,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_003.tiff:0056-0944-1340:56,1.682e-6,1280.816,801,2069,0.002,18357941,Wildtype,0.5148536095031266
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0049-0735-0797:52,1.618e-6,1916.276,1236,2696,0.003,26421618,syp RNAi clone,0.9749980671773211
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0061-1547-0742:64,1.023e-6,1397.889,953,3191,0.001,12189595,syp RNAi clone,0.5999231601536266
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0041-1722-0949:44,1.009e-6,1394.446,991,2159,0.001,11985263,syp RNAi clone,0.5967640304590229
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0033-0937-0223:36,7.834e-7,1711.474,1108,2396,0.001,11424090,syp RNAi clone,0.8265492008119874
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0012-1224-0487:12,8.944e-7,1709.921,970,2781,0.002,13031307,Wildtype,0.8254601953831091
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0012-0968-0488:12,9.32e-7,2301.246,1428,3341,0.002,18274196,Wildtype,1.2535009492608475
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0020-1027-0635:20,5.521e-7,1999.605,1251,2726,0.001,9406144,Wildtype,1.0350904666604435
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0024-0844-0844:24,1.468e-6,2287.537,1610,3605,0.003,28607936,Wildtype,1.2433206934168033
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0020-1089-0861:20,9.482e-7,2321.674,1452,3568,0.002,18756803,Wildtype,1.2682836121401397
6,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0028-1472-1046:28,8.552e-7,2026.273,1213,3145,0.002,14765450,Wildtype,1.05450278526086
7,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0048-1914-0883:48,1.287e-6,1377.768,969,2207,0.002,15107228,Wildtype,0.5848658512784751
8,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0036-1831-0796:36,6.975e-7,1346.231,895,1978,9.39e-4,8000651,Wildtype,0.5621060501243984
9,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0052-1508-0514:52,8.603e-7,1310.901,930,2097,0.001,9608902,Wildtype,0.5365115808159846
10,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0048-1462-0801:48,1.196e-6,1631.618,1088,3510,0.002,16624556,Wildtype,0.7685517398977384
11,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0020-1466-0247:20,7.88e-7,1548.887,948,2520,0.001,10399224,Wildtype,0.7088062573393915
12,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0024-1131-1078:24,9.943e-7,3047.315,1425,4468,0.003,25816855,Wildtype,1.7936775554707096
13,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0020-0661-1010:20,9.307e-7,3120.753,2056,4415,0.003,24747568,Wildtype,1.846818719204643
14,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0032-0584-0868:32,1.218e-6,2471.759,1675,3551,0.003,25656863,Wildtype,1.3773210931595397
15,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0032-0171-1015:32,8.965e-7,2374.89,1133,3374,0.002,18141786,Wildtype,1.3069234212316416
16,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0032-0407-0491:32,7.958e-7,2148.102,1372,3000,0.002,14566279,Wildtype,1.1427387792344599
17,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0024-0353-0851:24,6.78e-7,2497.083,1415,3789,0.002,14425647,Wildtype,1.3953359809094812
18,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0020-0555-1241:20,1.054e-6,3559.986,1558,5298,0.004,31975790,Wildtype,2.165221466445699
19,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_004.tiff:0048-0662-0629:48,1.311e-6,2301.348,1068,3266,0.003,25710657,Wildtype,1.2538390138359663
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0033-0949-1332:36,1.392e-6,3086.305,1837,4817,0.004,36609754,syp RNAi clone,1.8221638708844257
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0037-0675-1550:40,1.098e-6,2472.149,1751,3892,0.003,23136839,syp RNAi clone,1.3779204991975917
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0029-0767-1674:32,1.182e-6,2348.574,1020,3710,0.003,23661887,syp RNAi clone,1.2884240397535243
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0037-0890-1783:40,1.19e-6,2393.671,1595,3537,0.003,24264643,syp RNAi clone,1.320027303523154
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0065-0891-1559:68,1.34e-6,2214.034,1437,3209,0.003,25277630,syp RNAi clone,1.1903178146163444
6,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0085-0492-1714:88,8.072e-7,1977.877,1412,2743,0.002,13603839,syp RNAi clone,1.0194639412628428
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0072-1251-1332:72,1.354e-6,1861.478,1270,3053,0.003,21483322,Wildtype,0.9356369952695696
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0068-1093-1309:68,1.318e-6,3209.2,1945,4461,0.004,36036111,Wildtype,1.910650436602706
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0032-0599-1111:32,1.123e-6,3145.397,1948,4705,0.004,30110881,Wildtype,1.8657345655276778
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0040-0753-1130:40,1.02e-6,3226.543,2129,4482,0.003,28038655,Wildtype,1.9231720274507498
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0032-0647-0905:32,7.062e-7,5249.041,2338,7207,0.004,31583477,Wildtype,3.387547061537352
6,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0040-0445-0947:40,8.672e-7,2864.908,2019,4139,0.002,21168806,Wildtype,1.6616078161117405
7,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0040-0353-0789:40,7.42e-7,2468.271,1698,3612,0.002,15604408,Wildtype,1.374385547784095
8,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0044-0225-0832:44,1.077e-6,2153.399,1394,3191,0.002,19753125,Wildtype,1.1458769321994924
9,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0024-0280-0632:24,1.255e-6,2375.876,1331,3440,0.003,25414749,Wildtype,1.3081605287525286
10,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0028-0347-1354:28,7.255e-7,2415.059,1707,3456,0.002,14929896,Wildtype,1.336027911467426
11,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0024-0475-1508:24,9.965e-7,2441.44,1406,3825,0.002,20730271,Wildtype,1.3550876188052876
12,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0028-0987-1500:28,7.014e-7,2541.755,1581,3560,0.002,15189527,Wildtype,1.42756014545282
13,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0044-0823-1424:44,1.513e-6,2569.731,1616,3936,0.004,33139249,Wildtype,1.4485469726411635
14,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_005.tiff:0036-1485-1522:36,5.965e-7,1398.114,996,2339,8.34e-4,7106615,Wildtype,0.5997802587874749
1,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_006.tiff:0032-1528-0952:32,1.39e-6,2361.451,1304,3602,0.003,27959574,syp RNAi clone,1.2966052251240885
2,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_006.tiff:0056-1439-0745:56,1.64e-6,1743.542,1179,2644,0.003,24360772,syp RNAi clone,0.8496119293441713
3,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_006.tiff:0032-0435-0650:32,1.668e-6,1806.983,1058,2723,0.003,25686258,syp RNAi clone,0.8959459548970368
4,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_006.tiff:0028-0954-0506:28,1.223e-6,2109.69,1290,3241,0.003,21993515,syp RNAi clone,1.1154897553679757
5,20230717_FOGFP_DAPI_GFP_Phal_Puro_60x_006.tiff:0028-1066-0313:28,1.407e-6,1987.652,1347,2983,0.003,23835917,syp RNAi clone,1.0269267205947816
