len_i,len_u,jaccard,n,gene_id,gene_name,exon_lengths,pct_overlap
17,280,0.06463878326996197,4,FBgn0000042,Act5C,2978,0.5708529214237743
88,260,0.5116279069767442,23,FBgn0000043,Act42A,1626,5.412054120541206
0,100,0,0,FBgn0000046,Act87E,1989,0
33,580,0.0603290676416819,9,FBgn0000064,Ald1,3809,0.8663691257547913
0,35,0,0,FBgn0000083,AnxB9,2073,0
0,645,0,0,FBgn0000108,Appl,6383,0
0,90,0,0,FBgn0000181,bic,1546,0
0,15,0,0,FBgn0000183,BicD,5498,0
77,1180,0.06980961015412511,17,FBgn0000253,Cam,5812,1.3248451479697176
4,1030,0.00389863547758284,2,FBgn0000259,CkIIbeta,5705,0.07011393514460999
0,510,0,0,FBgn0000273,Pka-C1,5725,0
35,220,0.1891891891891892,6,FBgn0000299,Col4a1,6165,0.5677210056772101
132,705,0.23036649214659685,34,FBgn0000308,chic,2632,5.015197568389058
3,105,0.02941176470588235,2,FBgn0000319,Chc,6008,0.04993342210386152
85,315,0.3695652173913043,19,FBgn0000370,crc,3423,2.483201869704937
0,120,0,0,FBgn0000412,D1,1877,0
52,260,0.25,14,FBgn0000416,Sap-r,3527,1.4743407995463569
3,230,0.013215859030837,1,FBgn0000448,Hr3,10465,0.02866698518872431
127,540,0.3075060532687651,30,FBgn0000451,ect,3741,3.3948142207965786
0,45,0,0,FBgn0000463,Dl,5278,0
0,390,0,0,FBgn0000479,dnc,16683,0
0,15,0,0,FBgn0000541,E(bx),10072,0
10,135,0.08,4,FBgn0000546,EcR,9934,0.10066438494060802
0,300,0,0,FBgn0000547,ed,6425,0
0,70,0,0,FBgn0000568,Eip75B,13451,0
7,325,0.0220125786163522,2,FBgn0000575,emc,2049,0.3416300634455832
25,215,0.13157894736842105,7,FBgn0000579,Eno,3718,0.6724045185583647
34,485,0.07538802660753881,6,FBgn0000611,exd,3302,1.029678982434888
0,130,0,0,FBgn0000636,Fas3,6612,0
36,280,0.14754098360655735,11,FBgn0000667,Actn,5272,0.6828528072837633
0,145,0,0,FBgn0001078,ftz-f1,8581,0
39,185,0.2671232876712329,10,FBgn0001092,Gapdh2,1443,2.702702702702702
0,15,0,0,FBgn0001098,Gdh,2343,0
14,430,0.03365384615384615,5,FBgn0001105,Gbeta13F,5605,0.24977698483496877
17,295,0.06115107913669065,6,FBgn0001112,Gld,2899,0.5864091065884788
26,170,0.18055555555555555,4,FBgn0001145,Gs2,2231,1.1653966831017482
0,80,0,0,FBgn0001169,H,6004,0
0,95,0,0,FBgn0001186,Hex-A,4139,0
5,210,0.02439024390243902,1,FBgn0001197,His2Av,1224,0.40849673202614384
58,210,0.3815789473684211,14,FBgn0001218,Hsc70-3,3589,1.6160490387294513
11,1105,0.01005484460694698,4,FBgn0001235,hth,11839,0.09291325280851424
0,55,0,0,FBgn0001248,Idh,2434,0
0,60,0,0,FBgn0001253,ImpE1,6264,0
0,165,0,0,FBgn0001257,ImpL2,2667,0
30,230,0.15,7,FBgn0001297,kay,7789,0.3851585569392733
0,65,0,0,FBgn0001319,kn,4391,0
0,195,0,0,FBgn0001624,dlg1,11505,0
36,225,0.1904761904761905,5,FBgn0001942,eIF4A,2480,1.4516129032258065
0,35,0,0,FBgn0002022,Catsup,1698,0
0,125,0,0,FBgn0002121,l(2)gl,5986,0
11,430,0.02625298329355608,4,FBgn0002525,Lam,3737,0.29435375970029437
110,695,0.18803418803418803,29,FBgn0002645,Map205,6046,1.8193847171683757
0,80,0,0,FBgn0002736,mago,1103,0
4,135,0.03053435114503816,1,FBgn0002772,Mlc1,1414,0.2828854314002829
0,35,0,0,FBgn0002914,Myb,2928,0
0,665,0,0,FBgn0002921,Atpalpha,6680,0
0,120,0,0,FBgn0003016,osp,6846,0
0,30,0,0,FBgn0003071,Pfk,4377,0
45,180,0.3333333333333333,10,FBgn0003137,Ppn,9544,0.47150041911148366
32,295,0.12167300380228135,7,FBgn0003165,pum,11798,0.27123241227326667
0,180,0,0,FBgn0003205,Ras85D,1958,0
141,545,0.349009900990099,36,FBgn0003261,Rm62,5386,2.617898254734497
4,165,0.0248447204968944,2,FBgn0003392,shi,5989,0.06678911337451995
0,275,0,0,FBgn0003423,slgA,4305,0
8,50,0.1904761904761905,3,FBgn0003525,stg,3064,0.26109660574412535
7,65,0.1206896551724138,2,FBgn0003607,Su(var)205,1109,0.6311992786293958
115,670,0.2072072072072072,25,FBgn0003721,Tm1,9463,1.2152594314699356
0,135,0,0,FBgn0003870,ttk,7557,0
15,120,0.14285714285714285,4,FBgn0003891,tud,8830,0.16987542468856173
32,475,0.07223476297968397,8,FBgn0004103,Pp1-87B,2203,1.4525646845211075
0,245,0,0,FBgn0004177,mts,3102,0
0,165,0,0,FBgn0004179,Csp,3081,0
4,65,0.06557377049180328,2,FBgn0004198,ct,12443,0.03214658844330145
0,85,0,0,FBgn0004227,nonA,8029,0
10,185,0.05714285714285714,2,FBgn0004237,Hrb87F,2759,0.3624501631025734
0,700,0,0,FBgn0004242,Syt1,7190,0
4,275,0.01476014760147601,2,FBgn0004362,HmgD,1965,0.2035623409669211
10,160,0.06666666666666667,2,FBgn0004363,porin,2858,0.34989503149055284
0,220,0,0,FBgn0004370,Ptp10D,8708,0
0,220,0,0,FBgn0004396,CrebA,4498,0
0,25,0,0,FBgn0004401,Pep,2792,0
75,335,0.28846153846153844,19,FBgn0004432,Cyp1,1227,6.112469437652812
0,380,0,0,FBgn0004436,Ubc6,2166,0
8,325,0.0252365930599369,2,FBgn0004595,pros,24892,0.03213883978788365
56,520,0.1206896551724138,16,FBgn0004636,Rap1,3012,1.859229747675963
12,295,0.04240282685512368,4,FBgn0004638,drk,2946,0.40733197556008144
9,485,0.01890756302521008,4,FBgn0004648,svr,8583,0.10485844110450893
0,410,0,0,FBgn0004652,fru,18433,0
0,300,0,0,FBgn0004656,fs(1)h,15685,0
0,515,0,0,FBgn0004657,mys,4482,0
100,500,0.25,18,FBgn0004687,Mlc-c,1399,7.147962830593281
26,290,0.09848484848484848,7,FBgn0004828,His3.3B,2552,1.018808777429467
113,1230,0.10116383169203225,26,FBgn0004838,Hrb27C,8693,1.2998964684228689
0,220,0,0,FBgn0004868,Gdi,2501,0
0,155,0,0,FBgn0004875,enc,9058,0
0,70,0,0,FBgn0004888,Scsalpha1,1479,0
0,260,0,0,FBgn0004889,tws,5059,0
81,855,0.10465116279069768,20,FBgn0004907,14-3-3zeta,3637,2.227110255705252
32,390,0.0893854748603352,7,FBgn0004921,Ggamma1,2773,1.153984853948792
3,185,0.01648351648351648,2,FBgn0004924,Top1,6250,0.048
20,605,0.03418803418803419,3,FBgn0005278,Sam-S,3559,0.561955605507165
9,210,0.04477611940298507,3,FBgn0005648,Pabp2,2138,0.420954162768943
15,245,0.06521739130434782,3,FBgn0005671,Vha55,2786,0.5384063173007897
0,110,0,0,FBgn0010100,mAcon1,3103,0
143,2390,0.06364040943480195,37,FBgn0010113,hdc,15063,0.949346079798181
5,40,0.14285714285714285,1,FBgn0010217,ATPsynbeta,2386,0.2095557418273261
57,330,0.2087912087912088,12,FBgn0010226,GstS1,2275,2.5054945054945055
0,190,0,0,FBgn0010228,HmgZ,1604,0
0,265,0,0,FBgn0010238,Lac,2156,0
0,10,0,0,FBgn0010288,Uch,1196,0
0,565,0,0,FBgn0010300,brat,12788,0
32,325,0.10921501706484642,8,FBgn0010341,Cdc42,2078,1.539942252165544
26,330,0.08552631578947369,7,FBgn0010348,Arf79F,2442,1.0647010647010646
10,100,0.1111111111111111,2,FBgn0010352,Nc73EF,5338,0.18733608092918697
10,335,0.03076923076923077,1,FBgn0010379,Akt1,4889,0.2045408058907752
47,680,0.07424960505529225,11,FBgn0010415,Sdc,4202,1.1185149928605425
10,375,0.0273972602739726,1,FBgn0010482,l(2)01289,9515,0.10509721492380451
52,470,0.12440191387559808,15,FBgn0010488,NAT1,5665,0.9179170344218888
0,15,0,0,FBgn0010583,dock,3735,0
0,30,0,0,FBgn0010825,Gug,8819,0
3,355,0.00852272727272727,1,FBgn0010909,msn,6833,0.04390458071125421
0,40,0,0,FBgn0011016,SsRbeta,950,0
0,30,0,0,FBgn0011202,dia,6718,0
28,655,0.04465709728867623,5,FBgn0011217,eff,2375,1.1789473684210527
5,855,0.00588235294117647,1,FBgn0011224,heph,12120,0.04125412541254125
0,125,0,0,FBgn0011300,babo,5113,0
0,45,0,0,FBgn0011336,Stt3B,2703,0
4,220,0.01851851851851851,1,FBgn0011481,Ssdp,5521,0.07245064299945662
5,95,0.05555555555555555,1,FBgn0011570,cpb,1926,0.25960539979231567
8,380,0.02150537634408602,2,FBgn0011661,Moe,4558,0.17551557700745943
0,640,0,0,FBgn0011666,msi,11500,0
0,110,0,0,FBgn0011725,twin,4723,0
5,1010,0.00497512437810945,1,FBgn0011760,ctp,4645,0.1076426264800861
16,380,0.04395604395604396,4,FBgn0011766,E2f1,6451,0.24802356223841265
0,115,0,0,FBgn0011817,nmo,6945,0
0,265,0,0,FBgn0011837,Tis11,5015,0
0,160,0,0,FBgn0012034,AcCoAS,3605,0
0,35,0,0,FBgn0013263,Trl,6254,0
63,270,0.30434782608695654,13,FBgn0013272,Gp150,4916,1.2815296989422291
17,145,0.1328125,4,FBgn0013305,Nmda1,2590,0.6563706563706564
0,40,0,0,FBgn0013718,nuf,5594,0
0,95,0,0,FBgn0013733,shot,30414,0
32,165,0.24060150375939848,9,FBgn0013981,His4r,796,4.0201005025125625
0,90,0,0,FBgn0013987,MAPk-Ak2,2198,0
0,45,0,0,FBgn0014009,Rab2,1712,0
22,285,0.08365019011406843,7,FBgn0014010,Rab5,3146,0.6993006993006993
0,170,0,0,FBgn0014037,Su(Tpl),6626,0
0,50,0,0,FBgn0014135,bnl,4559,0
0,85,0,0,FBgn0014141,cher,9428,0
120,990,0.13793103448275862,23,FBgn0014163,fax,4167,2.8797696184305255
39,180,0.2765957446808511,9,FBgn0014184,Oda,2445,1.5950920245398774
35,110,0.4666666666666667,6,FBgn0014368,nol,568,6.161971830985916
5,360,0.01408450704225352,1,FBgn0014388,sty,5438,0.09194556822361162
4,30,0.15384615384615383,2,FBgn0014411,Vps26,2543,0.15729453401494298
5,90,0.0588235294117647,1,FBgn0015019,CCT3,2165,0.2309468822170901
0,290,0,0,FBgn0015218,eIF4E1,2235,0
75,340,0.2830188679245283,17,FBgn0015222,Fer1HCH,2376,3.156565656565657
0,45,0,0,FBgn0015229,glec,2050,0
9,425,0.02163461538461538,2,FBgn0015286,Rala,2751,0.3271537622682661
3,120,0.02564102564102564,1,FBgn0015320,Ubc2,2252,0.13321492007104796
0,30,0,0,FBgn0015321,Ubc4,1709,0
0,15,0,0,FBgn0015371,chn,6256,0
4,100,0.04166666666666666,2,FBgn0015622,Cnx99A,2795,0.14311270125223613
191,650,0.41612200435729846,46,FBgn0015766,Msr-110,2902,6.581667815299793
33,195,0.2037037037037037,8,FBgn0015776,nrv1,2195,1.5034168564920272
59,565,0.116600790513834,15,FBgn0015777,nrv2,3568,1.6535874439461882
25,1105,0.02314814814814814,7,FBgn0015778,rin,5711,0.43775170723165824
5,325,0.015625,1,FBgn0015903,apt,3696,0.13528138528138528
6,275,0.02230483271375464,2,FBgn0016041,Tom40,2395,0.25052192066805845
0,145,0,0,FBgn0016075,vkg,6503,0
17,210,0.08808290155440414,5,FBgn0016685,Nlp,1080,1.574074074074074
5,535,0.00943396226415094,1,FBgn0016694,Pdp1,12138,0.04119294776734223
43,250,0.20772946859903385,10,FBgn0016797,fz2,7422,0.579358663433037
0,785,0,0,FBgn0016977,spen,23035,0
0,320,0,0,FBgn0017418,ari-1,4815,0
18,220,0.0891089108910891,4,FBgn0017572,Mo25,2255,0.7982261640798226
11,595,0.01883561643835616,3,FBgn0017581,Lk6,6807,0.16159835463493463
0,120,0,0,FBgn0019925,Surf4,1641,0
9,40,0.2903225806451613,2,FBgn0019960,Mitofilin,3000,0.3
94,875,0.1203585147247119,24,FBgn0020238,14-3-3epsilon,3366,2.7926322043969103
75,455,0.1973684210526316,17,FBgn0020255,Ran,1898,3.951527924130664
3,440,0.0068649885583524,2,FBgn0020279,lig,6258,0.04793863854266538
5,45,0.125,1,FBgn0020306,dom,13020,0.03840245775729647
0,335,0,0,FBgn0020309,crol,7421,0
17,435,0.04066985645933014,5,FBgn0020443,eRF3,4409,0.38557496030845995
8,955,0.00844772967265047,3,FBgn0020496,CtBP,6448,0.1240694789081886
0,145,0,0,FBgn0020497,emb,4492,0
0,25,0,0,FBgn0020503,CLIP-190,8115,0
0,110,0,0,FBgn0020622,Pi3K21B,4938,0
23,105,0.2804878048780488,6,FBgn0020653,Trxr-1,2790,0.8243727598566308
0,50,0,0,FBgn0021776,mira,3322,0
193,825,0.30537974683544306,44,FBgn0021895,ytr,2209,8.736985061113627
14,440,0.03286384976525822,6,FBgn0022238,lolal,2402,0.5828476269775187
6,85,0.0759493670886076,2,FBgn0022349,CG1910,3199,0.1875586120662707
0,220,0,0,FBgn0022382,Pka-R2,4855,0
117,555,0.2671232876712329,23,FBgn0022893,Df31,2083,5.616898703792607
68,605,0.1266294227188082,16,FBgn0022959,yps,2677,2.5401568920433317
0,180,0,0,FBgn0022987,qkr54B,4432,0
9,45,0.25,2,FBgn0023083,fray,4423,0.20348179968347277
0,30,0,0,FBgn0023169,AMPKalpha,2853,0
35,185,0.23333333333333336,9,FBgn0023212,EloB,1207,2.899751449875725
0,150,0,0,FBgn0023213,eIF4G1,6565,0
10,415,0.02469135802469135,2,FBgn0023215,Mnt,4556,0.21949078138718175
0,290,0,1,FBgn0024183,vig,3372,0
0,10,0,0,FBgn0024352,Stip1,2023,0
3,55,0.05769230769230769,2,FBgn0024432,Dlc90F,816,0.3676470588235294
29,605,0.05034722222222222,8,FBgn0024734,PRL-1,3790,0.7651715039577837
10,70,0.16666666666666666,4,FBgn0024804,Dbp80,2367,0.42247570764681025
0,105,0,0,FBgn0024921,Tnpo,5598,0
0,50,0,0,FBgn0025394,inc,4686,0
0,355,0,0,FBgn0025741,PlexA,10614,0
0,130,0,0,FBgn0025800,Smox,4521,0
0,105,0,0,FBgn0025836,RhoGAP1A,6068,0
9,130,0.0743801652892562,2,FBgn0026061,Mipp1,2078,0.4331087584215592
45,280,0.1914893617021277,12,FBgn0026077,Gasp,2355,1.910828025477707
24,220,0.12244897959183672,6,FBgn0026084,cib,1771,1.355166572557877
0,80,0,0,FBgn0026160,tna,6969,0
0,50,0,0,FBgn0026179,siz,6940,0
0,45,0,0,FBgn0026192,par-6,3032,0
34,425,0.08695652173913043,6,FBgn0026197,lncRNA:noe,1077,3.1569173630454963
0,1655,0,0,FBgn0026206,mei-P26,23228,0
110,515,0.2716049382716049,24,FBgn0026250,eIF1A,1720,6.395348837209303
0,235,0,0,FBgn0026262,bip2,4514,0
5,255,0.02,1,FBgn0026401,Nipped-B,6711,0.07450454477723141
4,190,0.02150537634408602,1,FBgn0026409,Mpcp2,1823,0.2194185408667033
33,190,0.21019108280254775,4,FBgn0026418,Hsc70Cb,3751,0.8797653958944283
2,185,0.01092896174863388,1,FBgn0026439,Eaat1,3139,0.06371455877668047
0,35,0,0,FBgn0026620,tacc,6246,0
0,70,0,0,FBgn0026869,Thd1,13125,0
37,300,0.14068441064638784,7,FBgn0027066,Eb1,2715,1.3627992633517496
8,60,0.15384615384615383,3,FBgn0027081,ThrRS,2896,0.2762430939226519
0,125,0,0,FBgn0027101,Dyrk3,4083,0
0,350,0,0,FBgn0027108,Inx2,5480,0
5,225,0.02272727272727272,1,FBgn0027291,Idh3a,2104,0.2376425855513308
8,125,0.06837606837606838,2,FBgn0027329,CCT6,1924,0.4158004158004158
43,255,0.2028301886792453,8,FBgn0027338,Kap-alpha3,2867,1.499825601674224
5,1430,0.00350877192982456,1,FBgn0027339,jim,14271,0.03503608716978488
21,195,0.1206896551724138,5,FBgn0027341,Gfat1,4155,0.5054151624548736
0,490,0,0,FBgn0027492,wdb,7655,0
0,25,0,0,FBgn0027495,Smyd4-4,2474,0
5,390,0.01298701298701298,1,FBgn0027527,Osi6,1846,0.27085590465872156
5,95,0.05555555555555555,1,FBgn0027556,CG4928,4520,0.11061946902654868
10,125,0.08695652173913043,4,FBgn0027619,eIF3j,1363,0.7336757153338225
47,450,0.11662531017369727,15,FBgn0027835,Dp1,6962,0.675093363975869
11,405,0.02791878172588832,4,FBgn0027932,Akap200,3972,0.27693856998992955
17,135,0.1440677966101695,3,FBgn0028325,Pdha,2151,0.7903300790330079
18,290,0.0661764705882353,6,FBgn0028327,l(1)G0320,1943,0.9264024704065876
5,90,0.0588235294117647,2,FBgn0028371,jbug,10434,0.04792026068621814
0,130,0,0,FBgn0028430,He,673,0
0,25,0,0,FBgn0028506,CG4455,1528,0
1,30,0.03448275862068965,1,FBgn0028544,Vajk3,1413,0.07077140835102619
0,115,0,0,FBgn0028582,lqf,6521,0
0,125,0,0,FBgn0028670,Vha100-2,3222,0
5,50,0.1111111111111111,1,FBgn0028871,Cpr35B,813,0.6150061500615006
34,150,0.29310344827586204,6,FBgn0029133,REG,1830,1.8579234972677592
0,50,0,0,FBgn0029152,Mkrn1,2884,0
0,355,0,0,FBgn0029155,Men-b,3381,0
57,220,0.3496932515337423,15,FBgn0029506,Tsp42Ee,1463,3.896103896103896
8,190,0.04395604395604396,1,FBgn0029666,CG10803,4906,0.16306563391765186
60,740,0.08823529411764706,14,FBgn0029687,Vap33,3897,1.539645881447267
62,225,0.3803680981595092,13,FBgn0029715,CG11444,1282,4.83619344773791
5,250,0.02040816326530612,1,FBgn0029881,pigs,6721,0.074393691414968
0,110,0,0,FBgn0029896,CG3168,5171,0
10,560,0.01818181818181818,1,FBgn0029903,pod1,6691,0.1494544911074578
0,350,0,0,FBgn0029979,mahe,8365,0
4,285,0.01423487544483985,2,FBgn0029996,UbcE2H,3083,0.12974375608173855
0,30,0,0,FBgn0030049,Trf4-1,7452,0
38,260,0.17117117117117117,10,FBgn0030086,CCT2,2121,1.7916077322017916
5,335,0.01515151515151515,1,FBgn0030268,Klp10A,5150,0.0970873786407767
0,180,0,0,FBgn0030276,Dlic,3811,0
5,40,0.14285714285714285,1,FBgn0030305,Uba5,1432,0.34916201117318435
0,470,0,0,FBgn0030328,Amun,4444,0
0,50,0,0,FBgn0030336,CG1578,4720,0
5,40,0.14285714285714285,1,FBgn0030340,CG15740,3265,0.1531393568147014
5,95,0.05555555555555555,1,FBgn0030394,Cpr11A,1326,0.3770739064856712
0,25,0,0,FBgn0030479,Rbp1-like,3330,0
10,350,0.02941176470588235,3,FBgn0030520,Pdcd4,3431,0.2914602156805596
9,135,0.07142857142857142,2,FBgn0030529,Clic,1839,0.48939641109298526
0,15,0,0,FBgn0030539,CG1368,774,0
33,290,0.12840466926070038,7,FBgn0030617,CG9095,5367,0.6148686416992734
0,190,0,0,FBgn0030672,CG9281,3267,0
0,40,0,0,FBgn0030674,HUWE1,16799,0
27,325,0.09060402684563758,6,FBgn0030719,eIF5,3203,0.8429597252575711
0,40,0,0,FBgn0030749,AnxB11,2976,0
10,105,0.10526315789473684,2,FBgn0030791,CG9132,2747,0.3640334910811795
0,60,0,0,FBgn0031097,obst-A,1905,0
0,95,0,0,FBgn0031268,cold,1158,0
47,755,0.06638418079096045,12,FBgn0031453,Bacc,2718,1.7292126563649743
0,35,0,0,FBgn0031589,Naprt,3288,0
33,270,0.13924050632911392,5,FBgn0031629,Clect27,1652,1.9975786924939467
0,85,0,0,FBgn0031681,Pgant5,4545,0
10,45,0.2857142857142857,1,FBgn0031738,CG9171,5434,0.18402649981597352
4,240,0.01694915254237288,2,FBgn0031769,CG9135,2412,0.16583747927031509
0,55,0,0,FBgn0031885,Mnn1,5292,0
4,20,0.25,2,FBgn0031942,CG7203,730,0.547945205479452
3,105,0.02941176470588235,2,FBgn0031957,TwdlE,1346,0.22288261515601784
10,125,0.08695652173913043,1,FBgn0031992,Acbp1,525,1.9047619047619049
3,470,0.00642398286937901,2,FBgn0032021,CG7781,1981,0.1514386673397274
0,55,0,0,FBgn0032129,jp,6900,0
5,95,0.05555555555555555,1,FBgn0032229,CG5045,1175,0.425531914893617
0,75,0,0,FBgn0032341,Reps,4820,0
0,50,0,0,FBgn0032518,RpL24,1265,0
42,155,0.3716814159292035,9,FBgn0032586,Tpr2,3043,1.3802168912257642
0,50,0,0,FBgn0032689,CG10413,4010,0
15,105,0.16666666666666666,3,FBgn0032773,fon,2276,0.6590509666080844
13,50,0.35135135135135137,3,FBgn0032880,TM9SF2,2810,0.4626334519572953
